input,target
The lessee shall pay rent on time.,The tenant must pay rent on time.
The supplier warrants that the goods conform to the specifications.,The supplier guarantees the goods meet the specifications.
This contract is governed by the laws of the State of California.,California state law governs this contract.
Neither party shall be liable for indirect or consequential damages.,Neither side is responsible for indirect or consequential damages .
Confidential information shall not be disclosed without prior consent.,You must not share confidential information without prior consent .
This contract is governed by the laws of the State of California.,This contract is governed by California state law .
Any amendments to this agreement must be in writing and signed by both parties.,Any changes to this agreement must be written and signed by both parties.
"Force majeure events include, but are not limited to, acts of God.","Force majeure events include, but are not limited to, natural disasters."
The parties agree to settle disputes by arbitration in accordance with the rules of the ICC.,The parties shall settle disputes by arbitration in accordance with the rules of the ICC.
The supplier warrants that the goods conform to the specifications.,The supplier guarantees that the goods meet the specifications .
This agreement may be terminated by either party with 30 days written notice.,Either party can end this agreement with 30 days written notice .
The tenant pays the rent on time.,The tenant must pay the rent on time.
The parties agree to resolve disputes through arbitration in accordance with ICC rules.,The parties will settle disputes by arbitration under the ICC rules .
"Force majeure events include, but are not limited to, acts of God.","Force majeure events include, but are not limited to, natural disasters ."
Neither party is liable for indirect or consequential damages.,Neither party is liable for indirect or consequential damages.
All notices must be in writing and delivered to the other party’s registered office.,All notices must be written and sent to the registered office of the other party .
This agreement may be terminated by either party with 30 days' written notice.,Either party may terminate this agreement with 30 days' written notice.
The lessee shall pay rent on time.,The tenant must pay the rent on time.
This contract is governed by the laws of the State of California.,The law of the State of California governs this contract.
Confidential information shall not be disclosed without prior consent.,You must not share confidential information without prior consent.
Any amendment to this agreement shall be made in writing and signed by both parties.,Any amendment to this agreement must be written and signed by both parties.
"Events of force majeure include, but are not limited to, the acts of God.","Cases of force majeure include, but are not limited to, natural disasters."
The supplier shall ensure that the goods comply with the specifications.,The supplier ensures that the goods meet the specifications.
This agreement may be terminated by either party with 30 days written notice.,Either party can end this agreement with 30 days’ written notice.
All notices must be in writing and delivered to the head office of the other party.,All notices must be written and sent to the head office of the other party.
The parties agree to resolve disputes through arbitration in accordance with ICC rules.,The parties will settle disputes by arbitration under ICC rules.
Neither party shall be liable for indirect or consequential damages.,Neither side is responsible for indirect or consequential damages.
Any amendments to this agreement must be in writing and signed by both parties.,Any changes to this agreement must be written and signed by both parties .
All notices must be in writing and delivered to the other party’s registered office.,All notices must be written and sent to the other party’s registered office.
